"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2022","Both sexes","45 years","Donegal","Number","2428"
"Population","2022","Both sexes","45 years","Dún Laoghaire-Rathdown","Number","3052"
"Population","2022","Both sexes","45 years","Fingal","Number","5650"
"Population","2022","Both sexes","45 years","Galway City","Number","1215"
"Population","2022","Both sexes","45 years","Galway County","Number","3038"
"Population","2022","Both sexes","45 years","Kildare","Number","3966"
"Population","2022","Both sexes","45 years","Kilkenny","Number","1551"
"Population","2022","Both sexes","45 years","Kerry","Number","2264"
"Population","2022","Both sexes","45 years","Longford","Number","756"
"Population","2022","Both sexes","45 years","Louth","Number","2031"
"Population","2022","Both sexes","45 years","Limerick City and County","Number","3059"
"Population","2022","Both sexes","45 years","Leitrim","Number","506"
"Population","2022","Both sexes","45 years","Laois","Number","1422"
"Population","2022","Both sexes","45 years","Meath","Number","3524"
"Population","2022","Both sexes","45 years","Monaghan","Number","969"
"Population","2022","Both sexes","45 years","Mayo","Number","1877"
"Population","2022","Both sexes","45 years","Offaly","Number","1219"
"Population","2022","Both sexes","45 years","Roscommon","Number","951"
"Population","2022","Both sexes","45 years","South Dublin","Number","4504"
"Population","2022","Both sexes","45 years","Sligo","Number","1000"
"Population","2022","Both sexes","45 years","Tipperary","Number","2443"
"Population","2022","Both sexes","45 years","Waterford City and County","Number","1919"
"Population","2022","Both sexes","45 years","Westmeath","Number","1377"
"Population","2022","Both sexes","45 years","Wicklow","Number","2417"
"Population","2022","Both sexes","45 years","Wexford","Number","2421"
"Population","2022","Both sexes","46 years","State","Number","75416"
"Population","2022","Both sexes","46 years","Cork City and Cork County","Number","8659"
"Population","2022","Both sexes","46 years","Clare","Number","1952"
"Population","2022","Both sexes","46 years","Cavan","Number","1152"
"Population","2022","Both sexes","46 years","Carlow","Number","949"
"Population","2022","Both sexes","46 years","Dublin City","Number","7704"
"Population","2022","Both sexes","46 years","Donegal","Number","2428"
"Population","2022","Both sexes","46 years","Dún Laoghaire-Rathdown","Number","3152"
"Population","2022","Both sexes","46 years","Fingal","Number","5452"
"Population","2022","Both sexes","46 years","Galway City","Number","1210"
"Population","2022","Both sexes","46 years","Galway County","Number","2958"
"Population","2022","Both sexes","46 years","Kildare","Number","3946"
"Population","2022","Both sexes","46 years","Kilkenny","Number","1620"
"Population","2022","Both sexes","46 years","Kerry","Number","2273"
"Population","2022","Both sexes","46 years","Longford","Number","667"
"Population","2022","Both sexes","46 years","Louth","Number","2117"
"Population","2022","Both sexes","46 years","Limerick City and County","Number","3023"
"Population","2022","Both sexes","46 years","Leitrim","Number","490"
"Population","2022","Both sexes","46 years","Laois","Number","1376"
"Population","2022","Both sexes","46 years","Meath","Number","3594"
"Population","2022","Both sexes","46 years","Monaghan","Number","935"
"Population","2022","Both sexes","46 years","Mayo","Number","1950"
"Population","2022","Both sexes","46 years","Offaly","Number","1241"
"Population","2022","Both sexes","46 years","Roscommon","Number","1000"
"Population","2022","Both sexes","46 years","South Dublin","Number","4446"
"Population","2022","Both sexes","46 years","Sligo","Number","975"
"Population","2022","Both sexes","46 years","Tipperary","Number","2346"
"Population","2022","Both sexes","46 years","Waterford City and County","Number","1799"
"Population","2022","Both sexes","46 years","Westmeath","Number","1305"
"Population","2022","Both sexes","46 years","Wicklow","Number","2408"
"Population","2022","Both sexes","46 years","Wexford","Number","2289"
"Population","2022","Both sexes","47 years","State","Number","74524"
"Population","2022","Both sexes","47 years","Cork City and Cork County","Number","8620"
"Population","2022","Both sexes","47 years","Clare","Number","1795"
"Population","2022","Both sexes","47 years","Cavan","Number","1158"
"Population","2022","Both sexes","47 years","Carlow","Number","871"
"Population","2022","Both sexes","47 years","Dublin City","Number","7408"
"Population","2022","Both sexes","47 years","Donegal","Number","2322"
"Population","2022","Both sexes","47 years","Dún Laoghaire-Rathdown","Number","3137"
"Population","2022","Both sexes","47 years","Fingal","Number","5484"
"Population","2022","Both sexes","47 years","Galway City","Number","1141"
"Population","2022","Both sexes","47 years","Galway County","Number","2896"
"Population","2022","Both sexes","47 years","Kildare","Number","3857"
"Population","2022","Both sexes","47 years","Kilkenny","Number","1540"
"Population","2022","Both sexes","47 years","Kerry","Number","2296"
"Population","2022","Both sexes","47 years","Longford","Number","681"
"Population","2022","Both sexes","47 years","Louth","Number","2031"
"Population","2022","Both sexes","47 years","Limerick City and County","Number","2973"
"Population","2022","Both sexes","47 years","Leitrim","Number","493"
"Population","2022","Both sexes","47 years","Laois","Number","1339"
"Population","2022","Both sexes","47 years","Meath","Number","3564"
"Population","2022","Both sexes","47 years","Monaghan","Number","942"
"Population","2022","Both sexes","47 years","Mayo","Number","1864"
"Population","2022","Both sexes","47 years","Offaly","Number","1224"
"Population","2022","Both sexes","47 years","Roscommon","Number","1031"
"Population","2022","Both sexes","47 years","South Dublin","Number","4247"
"Population","2022","Both sexes","47 years","Sligo","Number","1023"
"Population","2022","Both sexes","47 years","Tipperary","Number","2500"
"Population","2022","Both sexes","47 years","Waterford City and County","Number","1830"
"Population","2022","Both sexes","47 years","Westmeath","Number","1454"
"Population","2022","Both sexes","47 years","Wicklow","Number","2458"
"Population","2022","Both sexes","47 years","Wexford","Number","2345"
"Population","2022","Both sexes","48 years","State","Number","73617"
"Population","2022","Both sexes","48 years","Cork City and Cork County","Number","8387"
"Population","2022","Both sexes","48 years","Clare","Number","1920"
"Population","2022","Both sexes","48 years","Cavan","Number","1161"
"Population","2022","Both sexes","48 years","Carlow","Number","841"
"Population","2022","Both sexes","48 years","Dublin City","Number","7478"
"Population","2022","Both sexes","48 years","Donegal","Number","2354"
"Population","2022","Both sexes","48 years","Dún Laoghaire-Rathdown","Number","3184"
"Population","2022","Both sexes","48 years","Fingal","Number","5310"
"Population","2022","Both sexes","48 years","Galway City","Number","1038"
"Population","2022","Both sexes","48 years","Galway County","Number","2948"
"Population","2022","Both sexes","48 years","Kildare","Number","3879"
"Population","2022","Both sexes","48 years","Kilkenny","Number","1561"
"Population","2022","Both sexes","48 years","Kerry","Number","2228"
"Population","2022","Both sexes","48 years","Longford","Number","626"
"Population","2022","Both sexes","48 years","Louth","Number","2062"
"Population","2022","Both sexes","48 years","Limerick City and County","Number","2898"
"Population","2022","Both sexes","48 years","Leitrim","Number","499"
"Population","2022","Both sexes","48 years","Laois","Number","1368"
"Population","2022","Both sexes","48 years","Meath","Number","3426"
"Population","2022","Both sexes","48 years","Monaghan","Number","892"
"Population","2022","Both sexes","48 years","Mayo","Number","1863"
"Population","2022","Both sexes","48 years","Offaly","Number","1204"
"Population","2022","Both sexes","48 years","Roscommon","Number","992"
"Population","2022","Both sexes","48 years","South Dublin","Number","4243"
"Population","2022","Both sexes","48 years","Sligo","Number","945"
"Population","2022","Both sexes","48 years","Tipperary","Number","2392"
"Population","2022","Both sexes","48 years","Waterford City and County","Number","1798"
"Population","2022","Both sexes","48 years","Westmeath","Number","1392"
"Population","2022","Both sexes","48 years","Wicklow","Number","2415"
"Population","2022","Both sexes","48 years","Wexford","Number","2313"
"Population","2022","Both sexes","49 years","State","Number","73731"
"Population","2022","Both sexes","49 years","Cork City and Cork County","Number","8302"
"Population","2022","Both sexes","49 years","Clare","Number","1923"
"Population","2022","Both sexes","49 years","Cavan","Number","1093"
"Population","2022","Both sexes","49 years","Carlow","Number","946"
"Population","2022","Both sexes","49 years","Dublin City","Number","7404"
"Population","2022","Both sexes","49 years","Donegal","Number","2397"
"Population","2022","Both sexes","49 years","Dún Laoghaire-Rathdown","Number","3159"
"Population","2022","Both sexes","49 years","Fingal","Number","5147"
"Population","2022","Both sexes","49 years","Galway City","Number","1018"
"Population","2022","Both sexes","49 years","Galway County","Number","2967"
"Population","2022","Both sexes","49 years","Kildare","Number","3914"
"Population","2022","Both sexes","49 years","Kilkenny","Number","1614"
"Population","2022","Both sexes","49 years","Kerry","Number","2284"
"Population","2022","Both sexes","49 years","Longford","Number","688"
"Population","2022","Both sexes","49 years","Louth","Number","2084"
"Population","2022","Both sexes","49 years","Limerick City and County","Number","2923"
"Population","2022","Both sexes","49 years","Leitrim","Number","492"
"Population","2022","Both sexes","49 years","Laois","Number","1319"
"Population","2022","Both sexes","49 years","Meath","Number","3450"
"Population","2022","Both sexes","49 years","Monaghan","Number","911"
"Population","2022","Both sexes","49 years","Mayo","Number","1885"
"Population","2022","Both sexes","49 years","Offaly","Number","1184"
"Population","2022","Both sexes","49 years","Roscommon","Number","957"
"Population","2022","Both sexes","49 years","South Dublin","Number","4193"
"Population","2022","Both sexes","49 years","Sligo","Number","981"
